Company Name,Type,Subcategory
Hooseini Co-Operative Credit Socy. Ltd.,Indian Bank,Foreign Bank
I C I C I Bank Ltd.,Foreign Bank,Foreign Bank
I D B I Bank Ltd.,Foreign Bank,Foreign Bank
I D B I Bank Ltd. [Merged],Foreign Bank,Foreign Bank
I D F C First Bank Ltd.,Foreign Bank,Foreign Bank
I N G Bank N V,Foreign Bank,Foreign Bank
I N G Vysya Bank Ltd. [Merged],Foreign Bank,Foreign Bank
India Post Payments Bank Ltd.,Foreign Bank,Foreign Bank
Indian Bank,Indian Bank,Indian Public Bank
Indian Overseas Bank,Foreign Bank,Indian Public Bank
Indusind Bank Ltd.,Foreign Bank,Foreign Bank
Industrial & Commercial Bank Of China Ltd.,Foreign Bank,Foreign Bank
Industrial Bank Of Korea,Foreign Bank,Foreign Bank
"J P Morgan Chase Bank, National Association",Foreign Bank,Foreign Bank
J S C Vtb Bank,Foreign Bank,Foreign Bank
Jain Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Jammu & Kashmir Bank Ltd.,Foreign Bank,Indian Public Bank
Jana Small Finance Bank Ltd.,Indian Bank,Foreign Bank
Janakalyan Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Janaseva Sahakari Bank (Borivli) Ltd.,Foreign Bank,Foreign Bank
Janata Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
K B C Bank N V.,Foreign Bank,Foreign Bank
Kalupur Commercial Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Kalyan Janata Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Kapol Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Karad Urban Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Karnataka Bank Ltd.,Indian Bank,Indian Public Bank
Karur Vysya Bank Ltd.,Foreign Bank,Indian Public Bank
Kerala Gramin Bank,Foreign Bank,Indian Public Bank
Kokan Mercantile Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Kotak Mahindra Bank Ltd.,Indian Bank,Foreign Bank
Krishna Bhima Samruddhi Local Area Bank Ltd.,Foreign Bank,Foreign Bank
Krung Thai Bank Public Co. Ltd.,Foreign Bank,Foreign Bank
Kunbi Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Kurla Nagarik Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Lakshmi Vilas Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Lord Krishna Bank Ltd. [Merged],Foreign Bank,Foreign Bank
M U F G Bank Ltd.,Foreign Bank,Foreign Bank
Madhya Pradesh Rajya Sahakari Bank Maryadit,Foreign Bank,Foreign Bank
Madhyanchal Gramin Bank,Foreign Bank,Indian Public Bank
Mahakaushal Kshetriya Gramin Bank,Foreign Bank,Foreign Bank
Mahanagar Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Maharashtra Gramin Bank,Foreign Bank,Indian Public Bank
Malad Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Mandvi Co-Operative Bank Ltd. [Merged],Indian Bank,Foreign Bank
Mangal Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Mapusa Urban Co-Op. Bank Of Goa Ltd.,Indian Bank,Foreign Bank
Maratha Mandir Co-Op. Bank Ltd. [Merged],Indian Bank,Foreign Bank
Maratha Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Mashreqbank P S C,Foreign Bank,Foreign Bank
Memon Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Mizuho Bank Ltd.,Foreign Bank,Indian Public Bank
Model Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Mogaveera Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Morgan Guaranty Trust Co. Of New York [Merged],Foreign Bank,Foreign Bank
Mumbai District Central Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
N K G S B Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
N S D L Payments Bank Ltd.,Foreign Bank,Foreign Bank
Nainital Bank Ltd.,Foreign Bank,Foreign Bank
Narmada Jhabua Gramin Bank,Foreign Bank,Foreign Bank
National Australia Bank Ltd.,Foreign Bank,Foreign Bank
National Bank Of Abu Dhabi,Foreign Bank,Foreign Bank
National Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Natwest Markets P L C,Foreign Bank,Foreign Bank
Navanirman Co-Op. Urban Bank Ltd.,Indian Bank,Foreign Bank
Nedungadi Bank Ltd. [Merged],Foreign Bank,Foreign Bank
New India Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
North East Small Finance Bank Ltd.,Indian Bank,Foreign Bank
Oriental Bank Of Commerce [Merged],Foreign Bank,Foreign Bank
Oversea-Chinese Banking Corpn. Ltd.,Foreign Bank,Foreign Bank
Patan Co-Operative Bank Ltd.,Indian Bank,Foreign Bank
Paytm Payments Bank Ltd.,Foreign Bank,Foreign Bank
Pinakini Grameena Bank,Foreign Bank,Foreign Bank
Progressive Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Pt Bank Maybank Indonesia T B K,Foreign Bank,Foreign Bank
Punjab & Maharashtra Co-Op. Bank Ltd. [Merged],Indian Bank,Foreign Bank
Punjab & Sind Bank,Indian Bank,Indian Public Bank
Punjab National Bank,Indian Bank,Indian Public Bank
R B L Bank Ltd.,Foreign Bank,Foreign Bank
R S Co-Operative Bank Ltd.,Indian Bank,Foreign Bank
Raghuvanshi Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Royal Bank Of Scotland N V,Foreign Bank,Foreign Bank
S B E R Bank,Foreign Bank,Foreign Bank
S B I Commercial & Intl. Bank Ltd. [Merged],Foreign Bank,Foreign Bank
S B M Bank (India) Ltd.,Foreign Bank,Foreign Bank
S B M Bank (Mauritius) Ltd.,Foreign Bank,Foreign Bank
